index,entropy,complexity,repetition
171,0.374939,0.732937,0.070000
172,0.429292,0.714915,0.090000
173,0.482050,0.695031,0.110000
174,0.532563,0.673401,0.130000
175,0.580208,0.650155,0.050000
176,0.624397,0.625429,0.070000
177,0.664586,0.599370,0.090000
178,0.700278,0.572132,0.110000
179,0.731033,0.543876,0.130000
180,0.756473,0.514769,0.050000
181,0.776282,0.484983,0.070000
182,0.790218,0.454695,0.090000
183,0.798108,0.424083,0.110000
184,0.799855,0.393329,0.130000
185,0.795437,0.362614,0.050000
186,0.784909,0.332120,0.070000
187,0.768400,0.302028,0.090000
188,0.746115,0.272515,0.110000
189,0.718328,0.243756,0.130000
190,0.685381,0.215921,0.050000
191,0.647682,0.189175,0.070000
192,0.605695,0.163676,0.090000
193,0.559937,0.139574,0.110000
194,0.510974,0.117013,0.130000
195,0.459409,0.096125,0.050000
196,0.405878,0.077034,0.070000
197,0.351041,0.059854,0.090000
198,0.295574,0.044685,0.110000
199,0.240162,0.031618,0.130000
